Symptom,Likely cause,Likely fixes,Quick checks
Curved pattern in residuals vs. fitted or key feature,Missing nonlinearity or interaction,Add spline/polynomial terms; introduce interactions; try GAMs; switch to trees/boosting; kernel methods,Residuals vs. fitted/feature plots; partial residual plots
Funnel shape: variance grows/shrinks with level,Heteroskedasticity,"Transform target (log, Box–Cox, Yeo–Johnson); Weighted/Generalized Least Squares; model variance; use quantile regression",Scale–Location plot; Breusch–Pagan/White tests
Residuals show runs/cycles over time,Autocorrelation/seasonality or concept drift,Add lags & seasonal terms; ARIMA errors; state-space/GLS; time-aware CV; scheduled retraining,ACF/PACF; Durbin–Watson; Ljung–Box; rolling metrics
Large residual clusters by subgroup (region/device/protected),"Missing features, distributional shift, or bias",Group intercepts/random effects; interactions; reweight/stratify; per-group calibration; collect missing features,Residual means by subgroup with CIs; permutation tests
Few very large residuals/high leverage points,Outliers/leverage or data errors,Robust loss (Huber/Tukey); winsorize/clip with care; investigate data quality; train an anomaly detector,Cook’s distance/leverage; influence diagnostics
Heavy-tailed residuals vs. Gaussian assumption,Wrong noise model,Use t-distributed errors; quantile regression; switch to appropriate GLM family,Q–Q plot; tail index checks
Residuals non-normal with count/positive/rate targets,Wrong likelihood/link,Poisson/NegBin for counts; Gamma/Lognormal for positives; Beta for rates; zero-inflated models,Check support (discrete/positive/bounded); deviance residuals
Spatially correlated residuals,Spatial dependence/omitted geography,"Add spatial features (lat/long splines, geohash, distances); spatial random effects; Gaussian processes; cluster-robust SEs",Moran’s I; residuals vs. location maps
Classification: predicted probabilities off observed rates,Miscalibration,Temperature scaling; isotonic/Platt; per-group calibration; conformal prediction for coverage,Reliability diagram; ECE/Brier score
Binned residuals change with a feature,Missing interaction or monotonic relationship,Add interaction/monotonic constraints; transform feature; use GAM/monotonic GBM,Cleveland/binned residual plots
Errors spike at extremes of target/feature,Extrapolation or low data support,Collect edge-case data; piecewise/segmented models; monotonic constraints; conservative intervals,Residuals vs. target/feature quantiles; leverage in extremes
"Train residuals tiny, validation/test residuals large",Overfitting or leakage,Stronger regularization; simpler model; proper CV; remove leakage features; early stopping,Compare train vs. val residuals; time-series CV if temporal
Residual distribution shifts after deployment,Data or label drift,Monitor residuals; drift detection; recalibrate; reweight (covariate shift); retrain,PSI/KS/Wasserstein on features/residuals; rolling residual mean
Residuals correlate with sensitive attribute(s),Fairness risk/omitted variables,"Add relevant covariates; apply fairness constraints (equalized odds, DP); reweighing/post-processing; audit intersections",Residuals by protected groups; fairness metrics per group
Pattern only in a local range of a feature,Local misspecification,Local models (kNN/GBDT); piecewise/segmented regression; feature binning,Residuals vs. feature with faceting/binning
Prediction variance too low vs. empirical spread,Underestimated uncertainty,Ensembles/bootstraps; Bayesian models; heteroskedastic variance modeling; conformal intervals,Coverage/PIT tests; backtest interval hit rates
Classifier outputs clustered near 0.5 despite separability,Underfit or insufficient features/regularization too high,Add informative features; stronger model; tune regularization; class-weighting; better features,ROC–AUC vs. PR curves; SHAP shows weak signals
