Notebook,RequirementID,Requirement,Source,Found,Evidence
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_NO_AGE_SEX,No age/sex influence in decision logic,Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_MED_LISTS,Medication lists + interaction checking,Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_HISTORY,Relevant medical history captured (MI/COPD/DM),Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_ALLERGIES,Allergies + adverse reactions handled,Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_PREGNANCY,Pregnancy status affects recommendations,Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_PENI_CEPH,Penicillin→avoid cephalosporins,Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_CONTRAST_PREMED,Contrast allergy premed protocols,Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_NSAID_ALT,NSAID allergy → alternate pain mgmt,Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_INR_ALWAYS,INR always included in lab profile,Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_ECG_IMMEDIATE,Immediate ECG for chest pain,Clinical Spec,True,"d_studies):         return {""action"":""ORDER_ECG"", ""reason"":""Chest pain without ECG"", ""urgency"":""high""}     return None  def skill_abnormal_e"
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_TROP_ALL_CHEST_ABD,Troponin ordered for chest/abdominal pain,Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_TROP_SERIAL,Serial troponin logic per timeline,Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_RISK_SCORES,Chest pain risk scores (HEART/GRACE/Marburg),Clinical Spec,False,
