Notebook,RequirementID,Requirement,Source,Found,Evidence
ED-Pipeline-Phase2.ipynb,CLN_NO_AGE_SEX,No age/sex influence in decision logic,Clinical Spec,False,
ED-Pipeline-Phase2.ipynb,CLN_MED_LISTS,Medication lists + interaction checking,Clinical Spec,False,
ED-Pipeline-Phase2.ipynb,CLN_HISTORY,Relevant medical history captured (MI/COPD/DM),Clinical Spec,False,
ED-Pipeline-Phase2.ipynb,CLN_ALLERGIES,Allergies + adverse reactions handled,Clinical Spec,True,"""medications"", None)     d[""has_med_list""] = bool(meds)     allergies = getattr(state, ""allergies"", None) or getattr(state, ""alle"
ED-Pipeline-Phase2.ipynb,CLN_PREGNANCY,Pregnancy status affects recommendations,Clinical Spec,True,"keys_added"": [""has_med_list"",""has_allergies"",""has_history"",""pregnancy_flag"",""has_baseline""],         ""troponin_rules"": [""order "
ED-Pipeline-Phase2.ipynb,CLN_PENI_CEPH,Penicillin→avoid cephalosporins,Clinical Spec,False,
ED-Pipeline-Phase2.ipynb,CLN_CONTRAST_PREMED,Contrast allergy premed protocols,Clinical Spec,False,
ED-Pipeline-Phase2.ipynb,CLN_NSAID_ALT,NSAID allergy → alternate pain mgmt,Clinical Spec,False,
ED-Pipeline-Phase2.ipynb,CLN_INR_ALWAYS,INR always included in lab profile,Clinical Spec,False,
ED-Pipeline-Phase2.ipynb,CLN_ECG_IMMEDIATE,Immediate ECG for chest pain,Clinical Spec,True,"d_studies):         return {""action"":""ORDER_ECG"", ""reason"":""Chest pain without ECG"", ""urgency"":""high""}     return None  def skill_abnormal_e"
ED-Pipeline-Phase2.ipynb,CLN_TROP_ALL_CHEST_ABD,Troponin ordered for chest/abdominal pain,Clinical Spec,True,"s"",""has_history"",""pregnancy_flag"",""has_baseline""],         ""troponin_rules"": [""order on chest/abdominal pain"", ""serial schedule default +3h"""
ED-Pipeline-Phase2.ipynb,CLN_TROP_SERIAL,Serial troponin logic per timeline,Clinical Spec,True,"ponin_protocols import recommend_troponin_actions, schedule_serial_troponin     from hl7_troponin import compute_troponin_delta_from_hl"
ED-Pipeline-Phase2.ipynb,CLN_RISK_SCORES,Chest pain risk scores (HEART/GRACE/Marburg),Clinical Spec,False,
ED-Pipeline-Phase2.ipynb,CLN_SEPSIS_SCORES,Sepsis/ICU scores (qSOFA/MEWS/SOFA/APACHE),Clinical Spec,True,"),""version"":""0.1"",""status"":""placeholder"",""keywords"":""sepsis|qsofa|fluids"",""checklist"":""Open SOP|Order labs|Start fluids|Antib"
ED-Pipeline-Phase2.ipynb,CLN_SOP_AUTOTRIGGER,Auto-trigger SOPs by presentation,Clinical Spec,True,re**: inlined equivalents; no import-time side effects. - **SOP auto-pull**: function present & offline-safe; returns summary on
ED-Pipeline-Phase2.ipynb,CLN_DDIMER_ADJ,Age/pregnancy-adjusted D-dimer,Clinical Spec,False,
ED-Pipeline-Phase2.ipynb,CLN_LINGER_MON,Monitor lingering patients (time since assessment),Clinical Spec,True,"nce_v is not None:             if since_v > 120: st.error(f""Lingering patient: since_vitals_min={since_v:.0f} > 120"")             else: s"
ED-Pipeline-Phase2.ipynb,CLN_FOLLOWUP_ECG,Follow-up ECG aligned with troponin,Clinical Spec,False,
ED-Pipeline-Phase2.ipynb,CLN_CT_RULES,CT rules (emergencies vs pregnancy),Clinical Spec,False,
ED-Pipeline-Phase2.ipynb,CHK_QR_TRACK,QR equipment tracking (US/crash carts/wheelchairs),Checklist,True,"ake(self,payload:str)->str:         try:             import qrcode             fp=self.out_dir/f""qr_{abs(hash(payload))}.png"" "
ED-Pipeline-Phase2.ipynb,CHK_SOP_ACCESS,SOP quick-access system,Checklist,True,"xcept Exception: pass         return pd.DataFrame(columns=[""sop_id"",""title"",""pdf_path"",""version"",""status"",""keywords"",""checklist"",""source_url"
ED-Pipeline-Phase2.ipynb,CHK_LINGERING_DASH,Lingering patient dashboard/alerts,Checklist,False,
ED-Pipeline-Phase2.ipynb,CHK_HL7_TROP_DELTA,HL7v2 processing + troponin delta logic,Checklist,True,  # === Merge Pack: Clinical Context + Troponin Protocols + HL7 Delta (guarded) === # Provenance: implemented new; not copi
ED-Pipeline-Phase2.ipynb,CHK_RESULTS_ALERT,Results notifications for significant changes,Checklist,False,
ED-Pipeline-Phase2.ipynb,CHK_RISK_AUTO,Auto risk scores (HEART/GRACE/Marburg/qSOFA/MEWS/SOFA),Checklist,True,"),""version"":""0.1"",""status"":""placeholder"",""keywords"":""sepsis|qsofa|fluids"",""checklist"":""Open SOP|Order labs|Start fluids|Antib"
ED-Pipeline-Phase2.ipynb,CHK_DDIMER_ADJ,Adjusted D-dimer (age/pregnancy),Checklist,False,
ED-Pipeline-Phase2.ipynb,CHK_CONTEXT_TRACK,Clinical context tracking (meds/allergy/history/pregnancy/baseline),Checklist,True,"xt_from_state(state):     d = {}     meds = getattr(state, ""medication_list"", None) or getattr(state, ""medications"", None)     d[""has_m"
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_NO_AGE_SEX,No age/sex influence in decision logic,Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_MED_LISTS,Medication lists + interaction checking,Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_HISTORY,Relevant medical history captured (MI/COPD/DM),Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_ALLERGIES,Allergies + adverse reactions handled,Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_PREGNANCY,Pregnancy status affects recommendations,Clinical Spec,True,"keys_added"": [""has_med_list"",""has_allergies"",""has_history"",""pregnancy_flag"",""has_baseline""],         ""troponin_rules"": [""order "
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_PENI_CEPH,Penicillin→avoid cephalosporins,Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_CONTRAST_PREMED,Contrast allergy premed protocols,Clinical Spec,False,
ED_Pipeline_v6_full-editable baseline.ipynb,CLN_NSAID_ALT,NSAID allergy → alternate pain mgmt,Clinical Spec,False,
